Name,Description,Satellites,Website,Jobs site,Jobs 2,Locations,Remote,Crunchbase,Linkedin,Twitter,SPAC,Github,Youtube,Stocks,Medium,Instagram,Notes
Fathom,Flood mapping,,https://www.fathom.global/,https://careers.fathom.global/,https://www.linkedin.com/company/fathom-global/jobs/,"🇬🇧 Bristol, UK",Yes (UK-elligible),,https://www.linkedin.com/company/fathom-global/,https://twitter.com/fathom_global,,,https://www.youtube.com/channel/UCeMu9yOWDuk1kUzc2_rOZAw,,,,
First street,Research non-profit focused on climate risk,,https://firststreet.org/,https://www.linkedin.com/company/first-street-foundation/jobs/,,"🇺🇸 New York, USA",,,https://www.linkedin.com/company/first-street-foundation/?originalSubdomain=th,https://twitter.com/FirstStreetFdn,,,,,,,
McKenzie Intelligence Services,"Analytics, consulting, insurance",,https://www.mckenzieintelligence.com/,https://www.mckenzieintelligence.com/careers/,,"🇬🇧 London, UK",Yes (UK-based?),https://www.crunchbase.com/organization/mckenzie-intelligence-services-ltd,https://www.linkedin.com/company/mckenzie-intelligence-services-ltd/,https://twitter.com/mckenzie_int,,,https://www.youtube.com/channel/UC2756RlVQipvKxgqUtZyCLA/playlists,,,,
Sust,Climate analyitcs,,https://www.sustglobal.com/,https://www.sustglobal.com/careers,,"🇺🇸 San Francisco, CA, USA | 🇬🇧 London, UK",Yes (US/UK),https://www.crunchbase.com/organization/sust-global,https://www.linkedin.com/company/sustglobal/,https://twitter.com/sustglobal,,,https://www.youtube.com/channel/UCu6CbjAFCnCs-viEOJG72uQ,,,,
Cervest,Climate intelligence platform,,https://cervest.earth/,https://cervest.earth/careers#join-our-team,https://www.linkedin.com/company/cervest/jobs/,"🇬🇧 London, UK",Yes,https://www.crunchbase.com/organization/cervest,https://www.linkedin.com/company/cervest/,https://twitter.com/CervestEarth,,https://github.com/Cervest,,,,,
Climate AI,Weather and Climate risk,,https://climate.ai/,https://climate.ai/work/,https://www.linkedin.com/company/climateai/jobs/,"🇺🇸 San Francisco, CA, USA ",Yes (Americas),https://www.crunchbase.com/organization/climateai,https://www.linkedin.com/company/climateai/,https://twitter.com/climateai?lang=en,,https://github.com/ClimateAI,,,,,
Arbol,"Insurance, blockchain",,https://www.arbolmarket.com/,https://jobs.lever.co/Arbol,,"🇺🇸 New York, USA | 🌐 Remote",Yes,https://www.crunchbase.com/organization/arbol-markets,https://www.linkedin.com/company/arbolinc/,https://twitter.com/arbolMarket,,https://github.com/arbol-Project,,,https://arbolmarket.medium.com/,,
Betterview,Insurance,,https://www.betterview.com/,https://apply.workable.com/betterview/#jobs,https://www.linkedin.com/company/betterview/jobs/,"🇺🇸 New York, USA | 🇺🇸 Carlsbad, CA, USA | 🇺🇸 Chicago, IL, USA | 🇺🇸 San Francisco, USA",Yes (US-based?),https://www.crunchbase.com/organization/betterview,https://www.linkedin.com/company/betterview/,https://twitter.com/betterv?lang=en,,https://github.com/bettervu,https://www.youtube.com/channel/UCq-qBQzcyErD3e6rnZ83Xfw,,,,
Athenium analytics,Insurance,,https://www.athenium.com/,https://www.athenium.com/about-us/careers/,https://www.linkedin.com/company/athenium-analytics/jobs/,"🇺🇸 Dover, NH, USA",Yes (US-based?),https://www.crunchbase.com/organization/athenium-analytics,https://www.linkedin.com/company/athenium-analytics/,https://twitter.com/athenium,,,https://www.youtube.com/channel/UC3-BM9AeMDmMa-56wI1PwBQ,,,,
Perennial,Verification platform for soil-based carbon removal,,https://www.perennial.earth/,https://www.perennial.earth/careers#job-openings,https://www.linkedin.com/company/perennial-earth/jobs/,"🇺🇸 Boulder, CO, USA | 🇦🇺 Adelaide, SA Australia",Yes (US / Australia),https://www.crunchbase.com/organization/cloud-agronomics,https://www.linkedin.com/company/perennial-earth/,,,,,,,,
Gro intelligence,"Agriculture, climate, economy",,https://gro-intelligence.com/,https://gro-intelligence.com/careers,https://www.linkedin.com/company/gro-intelligence/jobs/,"🇺🇸 New York, USA | 🇰🇪 Nairobi, Kenya | 🇸🇬 Singapore",Hybrid,https://www.crunchbase.com/organization/gro-intelligence,https://www.linkedin.com/company/gro-intelligence/,https://twitter.com/GroIntel,,https://github.com/gro-intelligence,https://www.youtube.com/channel/UC2w24XayZ6IW4XTYrcDBybw/videos,,,,
Sentera,Drones for agriculture monitoring,,https://sentera.com/,https://apply.workable.com/sentera/#jobs,https://www.linkedin.com/company/sentera/jobs/,"🇺🇸 Saint Paul, MN, USA",US-based,https://www.crunchbase.com/organization/sentera,https://www.linkedin.com/company/sentera/,https://twitter.com/sentera_uas,,https://github.com/SenteraLLC,https://www.youtube.com/c/SenteraUS,,,,
Ecometrica,Sustainability & ESG reporting ,,https://ecometrica.com/,https://ecometrica.com/about-us/work-at-ecometrica/,,"🇬🇧 Edinburgh, UK | 🇬🇧 London, UK | 🇨🇦 Montreal, Canada | 🇺🇸 Boston, USA",No,https://www.crunchbase.com/organization/ecometrica,https://www.linkedin.com/company/ecometrica/,https://twitter.com/Ecometrica,,https://github.com/ecometrica,https://vimeo.com/user4955895,,,,
AiDash,Satellite-powered ultility management,,https://www.aidash.com/,https://jobs.lever.co/aidash,https://www.linkedin.com/company/aidash/jobs/,"🇺🇸 San Jose, CA, USA | 🇺🇸 Multiple, USA | 🇮🇳 Multiple, India | 🇬🇧 London, UK",No,https://www.crunchbase.com/organization/aidash,https://www.linkedin.com/company/aidash/,https://twitter.com/aidashinc,,,https://www.youtube.com/channel/UCdU1Xuncxsn0YXY-YigOoJg,,,,
BeZero,Analysis on ratings in voluntary carbon market,,https://bezerocarbon.com/,https://bezero-carbon.breezy.hr/,https://www.linkedin.com/company/bezero-carbon/jobs/,"🇬🇧 London, UK",Yes (GMT +- 3h),https://pitchbook.com/profiles/company/484082-74,https://www.linkedin.com/company/bezero-carbon/,https://twitter.com/BeZeroCarbon,,https://github.com/BeZeroCarbon,,,https://medium.com/@bezerocarbon,,
SingleEarth,"Cryptocurrency backed by carbon, carbon monitoring",,https://www.single.earth/,https://careers.single.earth/,,"🇪🇪 Talinn, Estonia",Yes,https://www.crunchbase.com/organization/single-earth,https://www.linkedin.com/company/single-earth/?originalSubdomain=ee,https://twitter.com/SingleEarth1,,,,,,,
wildsense,Carbon monitoring,,https://www.wildsense.co/,https://www.wildsense.co/contact,,"🇫🇷 Paris, France",No jobs,https://www.crunchbase.com/organization/wildsense,https://www.linkedin.com/company/wildsenseco/,,,,,,,,
